fvcmean_id,region_id,region_name,year,fvc_mean
0573,532532,河口瑶族自治县,2016,0.8282
0574,532932,鹤庆县,2016,0.6409
0575,532529,红河县,2016,0.77
0576,530402,红塔区,2016,0.6571
0577,530424,华宁县,2016,0.7116
0578,530723,华坪县,2016,0.6579
0579,530326,会泽县,2016,0.7386
0580,532524,建水县,2016,0.699
0581,532931,剑川县,2016,0.7104
0582,530826,江城哈尼族彝族自治县,2016,0.8505
0583,530403,江川区,2016,0.5621
0584,532530,金平苗族瑶族傣族自治县,2016,0.8302
0585,530115,晋宁区,2016,0.6232
0586,530823,景东彝族自治县,2016,0.7813
0587,530824,景谷傣族彝族自治县,2016,0.7944
0588,532801,景洪市,2016,0.8459
0589,532502,开远市,2016,0.7557
0590,533325,兰坪白族普米族自治县,2016,0.7273
0591,530828,澜沧拉祜族自治县,2016,0.7573
0592,533122,梁河县,2016,0.6934
0593,530902,临翔区,2016,0.6912
0594,530523,龙陵县,2016,0.6994
0595,530502,隆阳区,2016,0.5998
0596,533124,陇川县,2016,0.7488
0597,533301,泸水市,2016,0.7998
0598,532527,泸西县,2016,0.7381
0599,530621,鲁甸县,2016,0.7487
0600,530322,陆良县,2016,0.651
0601,532302,禄丰市,2016,0.7138
0602,530128,禄劝彝族苗族自治县,2016,0.777
0603,530324,罗平县,2016,0.7844
0604,532531,绿春县,2016,0.8181
0605,532624,麻栗坡县,2016,0.846
0606,532625,马关县,2016,0.8253
0607,530304,马龙区,2016,0.7231
0608,533103,芒市,2016,0.6848
0609,532503,蒙自市,2016,0.7674
0610,532822,勐海县,2016,0.7962
0611,532823,勐腊县,2016,0.8687
0612,530827,孟连傣族拉祜族佤族自治县,2016,0.743
0613,532925,弥渡县,2016,0.6296
0614,532504,弥勒市,2016,0.7386
0615,530822,墨江哈尼族自治县,2016,0.8083
0616,532323,牟定县,2016,0.6694
0617,532324,南华县,2016,0.6775
0618,532926,南涧彝族自治县,2016,0.6404
0619,530821,宁洱哈尼族彝族自治县,2016,0.8437
0620,530724,宁蒗彝族自治县,2016,0.6877
0621,530103,盘龙区,2016,0.7277
0622,532523,屏边苗族自治县,2016,0.839
0623,530302,麒麟区,2016,0.7212
0624,530622,巧家县,2016,0.7537
0625,532626,丘北县,2016,0.8145
0626,533102,瑞丽市,2016,0.7053
0627,530323,师宗县,2016,0.8088
0628,530521,施甸县,2016,0.6701
0629,530126,石林彝族自治县,2016,0.6654
0630,532525,石屏县,2016,0.695
0631,532322,双柏县,2016,0.7196
0632,530925,双江拉祜族佤族布朗族傣族自治县,2016,0.7254
0633,530681,水富市,2016,0.8382
0634,530802,思茅区,2016,0.8017
0635,530127,嵩明县,2016,0.634
0636,530626,绥江县,2016,0.7857
0637,530581,腾冲市,2016,0.7098
0638,530423,通海县,2016,0.6112
0639,530629,威信县,2016,0.9107
0640,532927,巍山彝族回族自治县,2016,0.6331
0641,533423,维西傈僳族自治县,2016,0.7961
0642,532601,文山市,2016,0.7778
0643,530102,五华区,2016,0.6688
0644,532329,武定县,2016,0.7348
0645,532623,西畴县,2016,0.8531
0646,530829,西盟佤族自治县,2016,0.789
0647,530112,西山区,2016,0.5808
0648,533401,香格里拉市,2016,0.6803
0649,532923,祥云县,2016,0.6263
0650,530427,新平彝族傣族自治县,2016,0.7392
0651,530381,宣威市,2016,0.805
0652,530129,寻甸回族彝族自治县,2016,0.7744
0653,530623,盐津县,2016,0.8457
0654,532622,砚山县,2016,0.7804
0655,532922,漾濞彝族自治县,2016,0.707
0656,532325,姚安县,2016,0.6755
0657,530125,宜良县,2016,0.7154
0658,530628,彝良县,2016,0.8957
0659,530425,易门县,2016,0.7244
0660,533123,盈江县,2016,0.7501
0661,530923,永德县,2016,0.7066
0662,532928,永平县,2016,0.6496
0663,532327,永仁县,2016,0.6519
0664,530625,永善县,2016,0.8329
0665,530722,永胜县,2016,0.6431
0666,530721,玉龙纳西族自治县,2016,0.6959
0667,530428,元江哈尼族彝族傣族自治县,2016,0.7421
0668,532328,元谋县,2016,0.5635
0669,532528,元阳县,2016,0.7988
0670,532929,云龙县,2016,0.6885
0671,530922,云县,2016,0.7352
0672,530303,沾益区,2016,0.7565
0673,530602,昭阳区,2016,0.7674
0674,530924,镇康县,2016,0.7392
0675,530627,镇雄县,2016,0.9048
0676,530825,镇沅彝族哈尼族拉祜族自治县,2016,0.7887
0677,530181,安宁市,2017,0.6965
0678,532924,宾川县,2017,0.7103
