coverage_id,region_id,region_name,level,year,fvc_level,area_km2,level_name
0294,532502,开远市,3,2013,中高,664.3746,县级
0295,532502,开远市,3,2013,高,396.5373,县级
0296,533325,兰坪白族普米族自治县,3,2013,低,157.3551,县级
0297,533325,兰坪白族普米族自治县,3,2013,中低,176.0265,县级
0298,533325,兰坪白族普米族自治县,3,2013,中,583.7049,县级
0299,533325,兰坪白族普米族自治县,3,2013,中高,1493.8335,县级
0300,533325,兰坪白族普米族自治县,3,2013,高,2001.1185,县级
0301,530828,澜沧拉祜族自治县,3,2013,低,226.4265,县级
0302,530828,澜沧拉祜族自治县,3,2013,中低,558.6498,县级
0303,530828,澜沧拉祜族自治县,3,2013,中,2045.8233,县级
0304,530828,澜沧拉祜族自治县,3,2013,中高,3538.6569,县级
0305,530828,澜沧拉祜族自治县,3,2013,高,2431.9116,县级
0306,533122,梁河县,3,2013,低,16.515,县级
0307,533122,梁河县,3,2013,中低,26.1756,县级
0308,533122,梁河县,3,2013,中,108.1728,县级
0309,533122,梁河县,3,2013,中高,428.1741,县级
0310,533122,梁河县,3,2013,高,575.298,县级
0311,530902,临翔区,3,2013,低,97.6986,县级
0312,530902,临翔区,3,2013,中低,143.0595,县级
0313,530902,临翔区,3,2013,中,439.1118,县级
0314,530902,临翔区,3,2013,中高,917.3178,县级
0315,530902,临翔区,3,2013,高,981.0423,县级
0316,530523,龙陵县,3,2013,低,65.5695,县级
0317,530523,龙陵县,3,2013,中低,113.0157,县级
0318,530523,龙陵县,3,2013,中,433.7118,县级
0319,530523,龙陵县,3,2013,中高,1205.2395,县级
0320,530523,龙陵县,3,2013,高,1009.1628,县级
0321,530502,隆阳区,3,2013,低,246.8691,县级
0322,530502,隆阳区,3,2013,中低,322.3854,县级
0323,530502,隆阳区,3,2013,中,884.2419,县级
0324,530502,隆阳区,3,2013,中高,1944.3114,县级
0325,530502,隆阳区,3,2013,高,1493.6931,县级
0326,533124,陇川县,3,2013,低,40.5711,县级
0327,533124,陇川县,3,2013,中低,52.2189,县级
0328,533124,陇川县,3,2013,中,214.9092,县级
0329,533124,陇川县,3,2013,中高,701.8614,县级
0330,533124,陇川县,3,2013,高,883.9629,县级
0331,533301,泸水市,3,2013,低,60.8157,县级
0332,533301,泸水市,3,2013,中低,66.1914,县级
0333,533301,泸水市,3,2013,中,225.0135,县级
0334,533301,泸水市,3,2013,中高,868.7907,县级
0335,533301,泸水市,3,2013,高,1909.2177,县级
0336,532527,泸西县,3,2013,低,271.9953,县级
0337,532527,泸西县,3,2013,中低,256.0734,县级
0338,532527,泸西县,3,2013,中,355.3272,县级
0339,532527,泸西县,3,2013,中高,454.0608,县级
0340,532527,泸西县,3,2013,高,311.8518,县级
0341,530621,鲁甸县,3,2013,低,13.8501,县级
0342,530621,鲁甸县,3,2013,中低,21.7017,县级
0343,530621,鲁甸县,3,2013,中,130.4208,县级
0344,530621,鲁甸县,3,2013,中高,739.7973,县级
0345,530621,鲁甸县,3,2013,高,582.6861,县级
0346,530322,陆良县,3,2013,低,167.6727,县级
0347,530322,陆良县,3,2013,中低,307.7631,县级
