region_code,region_name,year,temp_mean,pre_mean
532626,丘北县,2016,10.574,502.2598
533102,瑞丽市,2016,9.322,341.9185
530323,师宗县,2016,7.334,354.8678
530521,施甸县,2016,10.501,392.7861
530126,石林彝族自治县,2016,9.865,427.4207
532525,石屏县,2016,10.92,433.1089
532322,双柏县,2016,10.201,346.6456
530925,双江拉祜族佤族布朗族傣族自治县,2016,10.749,490.5607
530681,水富市,2016,6.868,395.9774
530802,思茅区,2016,9.921,483.1806
530127,嵩明县,2016,7.907,358.2516
530626,绥江县,2016,7.122,415.7622
530581,腾冲市,2016,9.44,473.1069
530423,通海县,2016,8.954,361.9399
530629,威信县,2016,8.051,482.5485
532927,巍山彝族回族自治县,2016,11.197,381.0079
533423,维西傈僳族自治县,2016,4.578,279.2832
532601,文山市,2016,10.042,595.6748
530102,五华区,2016,8.073,356.5919
532329,武定县,2016,8.457,334.1625
532623,西畴县,2016,7.617,459.2084
530829,西盟佤族自治县,2016,12.161,542.9963
530112,西山区,2016,7.368,317.1196
533401,香格里拉市,2016,3.417,266.3108
532923,祥云县,2016,8.633,288.9131
530427,新平彝族傣族自治县,2016,9.18,353.1276
530381,宣威市,2016,8.54,506.8532
530129,寻甸回族彝族自治县,2016,8.225,399.5789
530623,盐津县,2016,10.693,583.0279
532622,砚山县,2016,7.778,413.2548
532922,漾濞彝族自治县,2016,7.345,261.7748
532325,姚安县,2016,9.249,329.4333
530125,宜良县,2016,7.222,301.8078
530628,彝良县,2016,5.788,336.1673
530425,易门县,2016,11.376,411.8933
533123,盈江县,2016,9.976,479.4951
530923,永德县,2016,10.728,439.5104
532928,永平县,2016,9.376,324.6838
532327,永仁县,2016,10.166,307.3595
530625,永善县,2016,4.554,260.6576
530722,永胜县,2016,8.074,268.1651
530721,玉龙纳西族自治县,2016,4.554,218.2922
530428,元江哈尼族彝族傣族自治县,2016,11.716,481.6084
532328,元谋县,2016,10.063,260.5386
532528,元阳县,2016,10.365,484.1711
532929,云龙县,2016,6.79,296.2645
530922,云县,2016,9.03,340.9098
530303,沾益区,2016,8.807,462.3059
530602,昭阳区,2016,6.045,367.3901
530924,镇康县,2016,10.249,434.7833
530627,镇雄县,2016,8.365,527.7678
530825,镇沅彝族哈尼族拉祜族自治县,2016,7.732,312.0621
530181,安宁市,2017,7.325,305.3176
532924,宾川县,2017,8.699,300.8509
530927,沧源佤族自治县,2017,12.209,583.7762
530524,昌宁县,2017,8.245,354.3309
530114,呈贡区,2017,9.028,402.8185
530481,澄江市,2017,8.963,395.6204
532301,楚雄市,2017,9.104,327.6245
530624,大关县,2017,7.853,407.1452
532901,大理市,2017,7.718,322.4025
532326,大姚县,2017,8.85,306.7897
533422,德钦县,2017,2.027,203.3122
530113,东川区,2017,6.536,294.1645
530426,峨山彝族自治县,2017,8.349,320.103
532930,洱源县,2017,6.47,327.0554
530921,凤庆县,2017,9.561,418.446
533323,福贡县,2017,7.343,556.3327
530124,富民县,2017,7.422,306.0141
532628,富宁县,2017,10.439,506.4381
530325,富源县,2017,5.625,352.6187
532501,个旧市,2017,7.575,378.1694
530926,耿马傣族佤族自治县,2017,9.064,418.1275
533324,贡山独龙族怒族自治县,2017,4.116,372.6772
530702,古城区,2017,5.986,250.5839
530111,官渡区,2017,6.529,298.4205
532627,广南县,2017,11.95,618.9806
532532,河口瑶族自治县,2017,5.92,329.2457
532932,鹤庆县,2017,9.656,363.6591
532529,红河县,2017,12.544,599.7047
530402,红塔区,2017,9.157,383.0148
530424,华宁县,2017,10.094,434.3983
530723,华坪县,2017,10.791,336.5229
530326,会泽县,2017,6.941,357.0483
532524,建水县,2017,10.6,449.148
532931,剑川县,2017,8.15,436.1462
530826,江城哈尼族彝族自治县,2017,9.831,487.0194
530403,江川区,2017,11.377,489.3749
